servo1 servo2 servo3 distance row column
166 22 90 527 10 74
168 22 90 520 10 75
171 22 90 511 10 76
173 22 90 493 10 77
175 22 90 493 10 78
177 22 90 485 10 79
177 24 90 492 11 79
175 24 90 491 11 78
173 24 90 500 11 77
171 24 90 496 11 76
168 24 90 515 11 75
166 24 90 524 11 74
164 24 90 533 11 73
162 24 90 531 11 72
159 24 90 525 11 71
157 24 90 584 11 70
155 24 90 585 11 69
153 24 90 608 11 68
150 24 90 624 11 67
148 24 90 647 11 66
146 24 90 689 11 65
144 24 90 380 11 64
141 24 90 727 11 63
139 24 90 788 11 62
137 24 90 802 11 61
135 24 90 867 11 60
132 24 90 904 11 59
130 24 90 956 11 58
128 24 90 1032 11 57
126 24 90 321 11 56
123 24 90 317 11 55
121 24 90 309 11 54
119 24 90 302 11 53
117 24 90 299 11 52
114 24 90 294 11 51
112 24 90 291 11 50
110 24 90 289 11 49
108 24 90 285 11 48
105 24 90 260 11 47
103 24 90 283 11 46
101 24 90 262 11 45
99 24 90 274 11 44
96 24 90 279 11 43
94 24 90 263 11 42
92 24 90 282 11 41
90 24 90 255 11 40
87 24 90 283 11 39
85 24 90 260 11 38
83 24 90 260 11 37
81 24 90 285 11 36
78 24 90 265 11 35
76 24 90 282 11 34
74 24 90 275 11 33
72 24 90 278 11 32
69 24 90 279 11 31
67 24 90 297 11 30
65 24 90 291 11 29
63 24 90 308 11 28
60 24 90 296 11 27
58 24 90 306 11 26
56 24 90 326 11 25
54 24 90 316 11 24
51 24 90 330 11 23
49 24 90 346 11 22
47 24 90 374 11 21
45 24 90 361 11 20
42 24 90 362 11 19
40 24 90 462 11 18
38 24 90 459 11 17
36 24 90 477 11 16
33 24 90 462 11 15
31 24 90 452 11 14
29 24 90 446 11 13
27 24 90 439 11 12
24 24 90 431 11 11
22 24 90 423 11 10
20 24 90 416 11 9
18 24 90 414 11 8
15 24 90 407 11 7
13 24 90 402 11 6
11 24 90 401 11 5
9 24 90 397 11 4
6 24 90 395 11 3
4 24 90 394 11 2
2 24 90 392 11 1
0 24 90 392 11 0
0 27 90 398 12 0
2 27 90 399 12 1
4 27 90 399 12 2
6 27 90 400 12 3
9 27 90 401 12 4
11 27 90 404 12 5
13 27 90 404 12 6
15 27 90 410 12 7
18 27 90 412 12 8
20 27 90 418 12 9
22 27 90 422 12 10
24 27 90 426 12 11
27 27 90 437 12 12
29 27 90 442 12 13
31 27 90 451 12 14
33 27 90 456 12 15
36 27 90 463 12 16
38 27 90 483 12 17
40 27 90 484 12 18
42 27 90 462 12 19
45 27 90 462 12 20
47 27 90 540 12 21
49 27 90 555 12 22
51 27 90 576 12 23
54 27 90 599 12 24
56 27 90 317 12 25
58 27 90 672 12 26
60 27 90 306 12 27
63 27 90 309 12 28
65 27 90 319 12 29
67 27 90 284 12 30
69 27 90 294 12 31
72 27 90 276 12 32
74 27 90 305 12 33
76 27 90 264 12 34
78 27 90 299 12 35
81 27 90 258 12 36
83 27 90 287 12 37
85 27 90 252 12 38
87 27 90 261 12 39
90 27 90 292 12 40
92 27 90 265 12 41
94 27 90 294 12 42
96 27 90 246 12 43
99 27 90 275 12 44
101 27 90 291 12 45
103 27 90 240 12 46
105 27 90 298 12 47
108 27 90 273 12 48
110 27 90 308 12 49
112 27 90 1175 12 50
114 27 90 1191 12 51
117 27 90 1197 12 52
119 27 90 1203 12 53
121 27 90 1 12 54
123 27 90 1230 12 55
126 27 90 1152 12 56
128 27 90 1055 12 57
130 27 90 1048 12 58
132 27 90 963 12 59
135 27 90 920 12 60
137 27 90 840 12 61
139 27 90 840 12 62
141 27 90 781 12 63
144 27 90 749 12 64
146 27 90 1 12 65
148 27 90 697 12 66
150 27 90 666 12 67
153 27 90 652 12 68
155 27 90 610 12 69
157 27 90 607 12 70
159 27 90 498 12 71
162 27 90 502 12 72
164 27 90 536 12 73
166 27 90 535 12 74
168 27 90 530 12 75
171 27 90 522 12 76
173 27 90 497 12 77
175 27 90 497 12 78
177 27 90 493 12 79
177 29 90 504 13 79
175 29 90 505 13 78
173 29 90 514 13 77
171 29 90 518 13 76
168 29 90 530 13 75
166 29 90 535 13 74
164 29 90 546 13 73
162 29 90 544 13 72
